,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
600,김형진,12,0:25:38,8,0,4,7,57.10%,0,0,0.00%,0,0,0.00%,1,3,0,1,0.1,1,0,0,0,4,1,0,0,0,2,1,4,1,0,2017,고려대학교,대학농구리그
601,김형진,2,0:00:00,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,고려대학교,MBC배 대학리그
602,김형진,14,1:32:44,18,1,4,14,28.60%,2,6,33.30%,4,6,66.70%,1,6,0,10,0.7,2,0,0,0,7,9,0,0,1,0,1,15,2,0,2018,고려대학교,대학농구리그
603,김형진,3,0:29:31,4,1,0,1,0.00%,0,3,0.00%,4,6,66.70%,4,0,1,6,2,3,0,0,0,2,1,0,0,0,0,1,4,0,0,2018,고려대학교,MBC배 대학리그
604,김형진,16,4:39:41,52,3,14,40,35.00%,5,33,15.20%,9,12,75.00%,5,35,2,54,3.4,16,1,0,0,16,24,0,0,2,4,4,33,6,1,2019,고려대학교,대학농구리그
605,김형진,5,1:18:37,17,3,4,8,50.00%,2,5,40.00%,3,4,75.00%,3,9,2,15,3,5,0,0,0,3,6,0,0,2,3,1,9,6,0,2019,고려대학교,MBC배 대학리그
606,김형진,2,0:31:18,8,4,2,7,28.60%,0,2,0.00%,4,6,66.70%,0,3,1,8,4,2,0,0,0,1,2,0,0,0,1,1,2,1,0,2020,고려대학교,대학농구리그
607,김형진,3,0:01:16,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2020,고려대학교,대학농구리그
608,남궁준수,1,0:02:27,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,2006,동국대학교,MBC배 대학리그
609,남궁준수,3,0:44:12,12,4,5,9,55.60%,0,4,0.00%,2,4,50.00%,4,2,2,1,0.3,2,1,0,0,2,4,0,0,4,0,0,1,0,0,2007,동국대학교,MBC배 대학리그
610,남궁준수,4,1:07:39,12,3,4,9,44.40%,0,3,0.00%,4,6,66.70%,3,11,3,0,0,2,1,0,0,6,1,0,0,5,0,0,1,0,0,2008,동국대학교,MBC배 대학리그
611,남영길,11,1:07:47,14,1,2,14,14.30%,2,13,15.40%,4,6,66.70%,5,7,1,0,0,3,0,0,0,7,2,0,0,2,1,2,2,0,0,2014,상명대학교,대학농구리그
612,남영길,3,0:04:26,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2014,상명대학교,MBC배 대학리그
613,남영길,16,7:20:50,124,7,32,81,39.50%,17,90,18.90%,9,16,56.30%,19,46,4,7,0.4,23,4,0,0,20,14,0,0,11,6,2,26,0,0,2015,상명대학교,대학농구리그
614,남영길,3,1:29:21,19,6,5,10,50.00%,3,12,25.00%,0,0,0.00%,3,4,2,3,1,5,2,0,0,1,7,0,0,1,2,0,8,0,0,2015,상명대학교,MBC배 대학리그
615,남영길,16,6:41:14,160,10,32,82,39.00%,25,93,26.90%,21,38,55.30%,28,45,4,10,0.6,19,3,0,0,16,17,0,0,12,7,0,32,7,4,2016,상명대학교,대학농구리그
616,남영길,3,1:24:57,21,7,5,16,31.30%,2,15,13.30%,5,6,83.30%,6,6,4,3,1,7,1,0,0,8,3,0,0,1,0,1,2,2,0,2016,상명대학교,MBC배 대학리그
617,남영길,16,6:46:52,109,6,30,57,52.60%,12,56,21.40%,13,19,68.40%,29,43,4,24,1.5,24,3,0,0,9,23,0,0,0,23,3,33,18,2,2017,상명대학교,대학농구리그
618,남영길,3,1:41:35,32,10,4,7,57.10%,6,20,30.00%,6,6,100.00%,6,10,5,6,2,0,2,0,0,2,6,0,0,0,5,0,2,4,0,2017,상명대학교,MBC배 대학리그
619,남호진,2,0:32:19,19,9,3,6,50.00%,2,3,66.70%,7,9,77.80%,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2000,건국대학교,MBC배 대학리그
620,남호진,3,0:24:09,6,2,1,3,33.30%,1,2,50.00%,1,4,25.00%,1,4,1,0,0,1,1,0,0,2,4,0,0,3,0,0,8,0,0,2001,건국대학교,MBC배 대학리그
621,남호진,3,1:12:12,26,8,10,20,50.00%,0,4,0.00%,6,8,75.00%,3,13,5,1,0.3,1,1,0,0,6,3,0,0,0,0,0,4,0,0,2002,건국대학교,MBC배 대학리그
