,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
1305,윤성환,1.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,동국대학교,대학농구리그
1306,윤수빈,16.0,3:14:02,40.0,2.0,15.0,41.0,36.60%,1.0,4.0,25.00%,7.0,14.0,50.00%,18.0,14.0,2.0,7.0,0.4,3.0,6.0,0.0,0.0,12.0,7.0,0.0,0.0,1.0,1.0,2.0,16.0,1.0,1.0,2019.0,조선대학교,대학농구리그
1307,윤수빈,3.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019.0,조선대학교,MBC배 대학리그
1308,윤순식,2.0,0:08:24,5.0,2.0,1.0,1.0,100.00%,1.0,3.0,33.30%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,명지대학교,MBC배 대학리그
1309,윤영빈,10.0,0:22:10,12.0,1.0,1.0,4.0,25.00%,3.0,8.0,37.50%,1.0,1.0,100.00%,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2014.0,경희대학교,대학농구리그
1310,윤영빈,5.0,0:09:41,3.0,0.0,1.0,2.0,50.00%,0.0,1.0,0.00%,1.0,2.0,50.00%,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014.0,경희대학교,MBC배 대학리그
1311,윤영빈,16.0,0:40:04,10.0,0.0,2.0,8.0,25.00%,2.0,13.0,15.40%,0.0,2.0,0.00%,0.0,4.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2015.0,경희대학교,대학농구리그
1312,윤영빈,5.0,0:56:21,30.0,6.0,3.0,9.0,33.30%,8.0,21.0,38.10%,0.0,0.0,0.00%,3.0,6.0,1.0,1.0,0.2,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2015.0,경희대학교,MBC배 대학리그
1313,윤영빈,15.0,4:59:47,94.0,6.0,21.0,44.0,47.70%,15.0,54.0,27.80%,7.0,14.0,50.00%,8.0,23.0,2.0,7.0,0.5,6.0,2.0,0.0,0.0,12.0,8.0,0.0,0.0,5.0,4.0,2.0,15.0,7.0,1.0,2016.0,경희대학교,대학농구리그
1314,윤영빈,2.0,0:06:59,2.0,1.0,1.0,2.0,50.00%,0.0,3.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2016.0,경희대학교,MBC배 대학리그
1315,윤영빈,5.0,2:01:56,42.0,8.0,12.0,21.0,57.10%,5.0,24.0,20.80%,3.0,3.0,100.00%,3.0,11.0,2.0,6.0,1.2,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,5.0,4.0,9.0,0.0,0.0,2017.0,경희대학교,대학농구리그
1316,윤예상,1.0,0:05:15,0.0,0.0,0.0,1.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,고려대학교,MBC배 대학리그
1317,윤재원,11.0,0:14:24,3.0,0.0,1.0,3.0,33.30%,0.0,0.0,0.00%,1.0,2.0,50.00%,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011.0,상명대학교,대학농구리그
1318,윤재원,3.0,0:02:36,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,상명대학교,MBC배 대학리그
1319,윤정수,3.0,0:32:29,2.0,0.0,1.0,7.0,14.30%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1999.0,동국대학교,MBC배 대학리그
1320,윤정수,3.0,1:23:26,25.0,8.0,10.0,20.0,50.00%,0.0,8.0,0.00%,5.0,7.0,71.40%,8.0,4.0,4.0,1.0,0.3,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2000.0,동국대학교,MBC배 대학리그
1321,윤창훈,1.0,0:02:14,0.0,0.0,0.0,1.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,성균관대학교,MBC배 대학리그
1322,윤홍규,3.0,0:05:26,2.0,0.0,1.0,2.0,50.00%,0.0,0.0,0.00%,0.0,1.0,0.00%,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2014.0,동국대학교,대학농구리그
1323,윤홍규,3.0,0:11:37,8.0,2.0,3.0,6.0,50.00%,0.0,0.0,0.00%,2.0,3.0,66.70%,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2014.0,동국대학교,MBC배 대학리그
1324,윤홍규,16.0,0:57:53,22.0,1.0,11.0,17.0,64.70%,0.0,0.0,0.00%,0.0,2.0,0.00%,4.0,8.0,0.0,1.0,0.1,1.0,2.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2015.0,동국대학교,대학농구리그
1325,윤홍규,1.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015.0,동국대학교,MBC배 대학리그
1326,윤홍규,13.0,3:44:44,38.0,2.0,19.0,55.0,34.50%,0.0,1.0,0.00%,0.0,0.0,0.00%,19.0,19.0,2.0,5.0,0.4,4.0,2.0,0.0,0.0,9.0,19.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,2016.0,동국대학교,대학농구리그
1327,윤홍규,4.0,1:52:49,58.0,14.0,23.0,36.0,63.90%,1.0,1.0,100.00%,9.0,13.0,69.20%,9.0,9.0,4.0,1.0,0.3,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2016.0,동국대학교,MBC배 대학리그
1328,윤희재,2.0,1:06:49,21.0,10.0,9.0,18.0,50.00%,1.0,1.0,100.00%,0.0,0.0,0.00%,0.0,4.0,2.0,1.0,0.5,3.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2003.0,조선대학교,MBC배 대학리그
1329,윤희재,3.0,1:58:20,34.0,11.0,10.0,19.0,52.60%,3.0,10.0,30.00%,5.0,5.0,100.00%,3.0,15.0,6.0,6.0,2.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,2004.0,조선대학교,MBC배 대학리그
1330,윤희재,5.0,2:11:41,31.0,6.0,8.0,14.0,57.10%,2.0,5.0,40.00%,9.0,12.0,75.00%,5.0,20.0,5.0,6.0,1.2,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,2005.0,조선대학교,MBC배 대학리그
1331,은희상,2.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,상명대학교,대학농구리그
