,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
1134,양호철,-0.92057335,-0.61274916,-0.5813571,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.4124099,-0.593892,-0.25665504,-0.34964395,0.30130246,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.14439434,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2001.0,명지대학교
1135,양희수,-0.56873155,-0.63909644,-0.5813571,-0.7536515,-0.54772234,-0.53831595,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.4950073,-0.35651937,-0.2684201,2012.0,동국대학교
1136,어수훈,-0.74465245,-0.56971526,-0.55647653,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.35034192,-0.32321662,0.40645957,-0.4124099,-0.51254714,-0.25665504,-0.46950248,-0.56068945,-0.3503292,-0.368265,-0.07178532,-0.09591649,-0.292315,-0.44293863,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.4950073,-0.35651937,-0.2684201,2000.0,경희대학교
1137,어수훈,-0.39281067,0.2132379,0.065538034,0.51376534,0.35493693,0.29495,0.5545291,-0.24365525,-0.41610515,3.7430053,-0.35034192,-0.32321662,0.40645957,0.41991156,0.54493606,1.610149,-0.22978544,-0.12969351,-0.3503292,1.6151329,-0.07178532,-0.09591649,0.57976186,0.19876616,-0.124685906,3.2000124,-0.43599334,-0.39023393,0.45041892,-0.35651937,-0.2684201,2003.0,경희대학교
1138,어수훈,-0.040968895,0.54023683,-0.08374546,-0.11994307,0.026697205,0.16996011,0.09460184,-0.43505692,-0.4727603,-0.69230264,0.44677463,0.33372155,1.0871038,0.28119132,1.2770398,1.143448,-0.22978544,-0.3020919,0.06589094,1.6151329,-0.07178532,-0.09591649,2.498331,0.5196185,-0.124685906,0.524487,-0.43599334,-0.39023393,0.7205407,-0.35651937,-0.2684201,2002.0,경희대학교
1139,어수훈,-0.56873155,-0.5177526,-0.5813571,-0.7536515,-0.54772234,-0.49665266,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.43120223,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.46673036,-0.44293863,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2001.0,경희대학교
1140,엄윤혁,-0.56873155,-0.56268936,-0.50671536,-0.5424153,-0.4656624,-0.49665266,0.47276422,-0.43505692,-0.4727603,-0.69230264,-0.35034192,-0.32321662,0.40645957,-0.5511302,-0.43120223,-0.72335607,-0.46950248,-0.56068945,-0.3503292,-0.368265,-0.07178532,-0.09591649,-0.46673036,-0.44293863,-0.124685906,-0.47883502,-0.13414168,-0.39023393,-0.3599464,-0.35651937,-0.2684201,2020.0,명지대학교
1141,엄윤혁,-0.56873155,-0.44339475,-0.25790954,0.09129308,-0.055362727,-0.2883362,1.6890162,-0.43505692,-0.4727603,-0.69230264,-0.35034192,-0.4327063,1.7677482,-0.5511302,-0.43120223,-0.72335607,-0.34964395,-0.3020919,-0.55843925,-0.368265,-0.07178532,-0.09591649,0.23093113,-0.44293863,-0.124685906,-0.47883502,0.16770999,-0.39023393,-0.3599464,0.24948426,-0.2684201,2021.0,명지대학교
1142,엄윤혁,-0.56873155,-0.5407333,-0.5813571,-0.7536515,-0.54772234,-0.49665266,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.4124099,-0.51254714,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.11789962,-0.28251243,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.22488552,-0.053517554,-0.2684201,2020.0,명지대학교
1143,엄윤혁,-0.56873155,-0.29907024,-0.18326779,0.30252922,0.026697205,0.0033069162,0.47276422,-0.43505692,-0.4727603,-0.69230264,-0.19091861,-0.21372692,0.86112994,-0.13496941,-0.26851252,0.21004596,-0.22978544,0.042704865,-0.3503292,0.623434,-0.07178532,6.0134306,0.05651576,0.35919234,-0.124685906,-0.47883502,0.46956164,0.7496468,0.18029715,0.8554879,-0.2684201,2021.0,명지대학교
