,Unnamed: 0,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
1223,5582,플레이오프,2005-2006,5,리 벤슨,대구오리온스,20.2,8.7,15.2,53.8,2.3,3.0,77.8,0.0,0.0,0.0,4.7,8.7,13.3,2.8,3.7,1.5,1.8,2.5
1224,1308,정규경기,2014-2015,5,리오 라이온스,고양오리온스,19.6,6.8,10.1,50.1,4.2,5.5,77.1,4.3,7.7,56.0,2.0,7.4,9.3,2.5,2.3,1.0,0.6,2.5
1225,4825,플레이오프,2014-2015,14,리오 라이온스,고양오리온스,11.6,4.8,10.0,42.0,1.4,1.8,77.8,3.6,7.8,46.2,2.4,2.4,4.8,2.4,0.6,0.2,0.8,0.6
1226,1118,정규경기,2015-2016,6,리오 라이온스,울산모비스,20.0,6.6,11.2,51.8,6.0,7.8,76.9,4.6,7.2,63.9,1.4,7.2,8.6,2.6,2.2,1.2,1.0,2.4
1227,931,정규경기,2016-2017,10,리오 라이온스,전주KCC,21.3,8.5,15.0,52.8,3.8,5.1,75.9,6.0,10.3,58.1,3.0,6.8,9.8,2.5,2.9,1.0,0.5,2.4
1228,3600,정규경기,2000-2001,17,리온 데릭스,안양SBS,20.6,8.6,13.4,63.7,3.2,4.8,66.2,0.0,0.0,0.0,4.8,7.4,12.2,5.8,3.3,1.4,1.8,3.0
1229,5962,플레이오프,2000-2001,9,리온 데릭스,안양SBS,20.4,7.3,13.6,52.6,5.7,8.1,70.2,0.0,0.0,0.0,4.3,7.0,11.3,5.1,2.3,1.1,2.6,3.6
1230,3445,정규경기,2001-2002,14,리온 데릭스,안양SBS,18.2,7.6,13.6,54.1,2.8,3.9,71.1,0.0,0.0,0.0,3.7,7.0,10.8,4.6,2.6,1.1,1.4,2.4
1231,5914,플레이오프,2001-2002,36,리온 데릭스,안양SBS,4.5,2.0,4.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,2.5,1.0,0.5,0.0,2.5
1232,3306,정규경기,2002-2003,25,리온 데릭스,원주TG,15.0,6.7,9.7,69.0,1.7,2.3,71.4,0.0,0.0,0.0,2.7,6.0,8.7,2.0,3.3,0.3,1.3,4.0
1233,5821,플레이오프,2002-2003,18,리온 데릭스,원주TG,11.1,4.6,10.7,42.7,2.0,3.3,60.9,0.0,0.0,0.0,3.9,9.9,13.7,2.0,1.9,2.0,0.7,2.9
1234,3167,정규경기,2003-2004,39,리온 데릭스,원주TG삼보,12.2,5.0,8.7,56.8,2.2,2.9,75.4,0.0,0.0,0.0,2.3,7.8,10.0,3.8,1.9,0.9,1.1,2.5
1235,5755,플레이오프,2003-2004,26,리온 데릭스,원주TG삼보,9.0,4.3,8.0,50.0,0.0,0.7,0.0,0.0,0.0,0.0,1.7,8.3,10.0,4.3,1.3,1.0,0.7,2.3
1236,1653,정규경기,2012-2013,3,리온 윌리엄스,고양오리온스,18.5,7.1,11.4,61.7,4.4,5.3,83.1,6.1,9.5,63.7,4.0,7.4,11.4,1.6,2.6,1.6,0.7,2.9
1237,5005,플레이오프,2012-2013,4,리온 윌리엄스,고양오리온스,16.8,7.0,10.4,67.3,2.8,4.0,70.0,6.0,9.2,65.2,3.2,7.0,10.2,0.8,2.0,0.4,0.2,4.2
1238,1496,정규경기,2013-2014,17,리온 윌리엄스,고양오리온스,12.2,4.4,8.2,52.9,3.4,4.6,74.1,3.5,6.3,56.1,2.4,5.0,7.4,0.8,1.2,1.0,0.3,2.4
1239,4939,플레이오프,2013-2014,15,리온 윌리엄스,고양오리온스,11.0,4.0,6.8,59.3,3.0,3.8,80.0,3.3,5.0,65.0,1.5,3.0,4.5,1.3,0.0,1.8,0.8,2.8
1240,1315,정규경기,2014-2015,12,리온 윌리엄스,안양 KGC,13.3,5.1,9.2,54.5,3.2,4.3,73.8,3.6,6.1,59.3,2.5,6.0,8.5,0.9,1.4,1.0,0.5,2.9
1241,3282,정규경기,2002-2003,1,리온 트리밍햄,서울SK,27.4,10.9,17.2,57.8,4.5,6.0,75.7,0.0,0.0,0.0,3.6,9.0,12.6,1.8,3.2,2.3,2.7,3.0
1242,3145,정규경기,2003-2004,17,리온 트리밍햄,부산KTF,18.1,7.1,12.4,53.3,3.3,4.3,77.3,0.0,0.0,0.0,1.7,5.7,7.4,2.4,2.8,1.4,0.7,3.1
