,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
4323,플레이오프,2008-2009,6,하승진,전주KCC,1.3202657,1.5280424,1.5418605,0.8596863,1.054176,1.8166981,-0.060932986,3.343051,3.0480478,1.3811995,2.3355808,1.5143758,1.871361,-0.39890233,0.03170517,-0.8832111,1.40968,0.50844055
4324,정규경기,2009-2010,17,하승진,전주KCC,0.8917629,0.96261704,0.99748284,0.8467383,1.1247519,1.9209204,-0.057928227,2.659438,2.4535482,1.3549193,2.3355808,1.5572242,1.9011565,-0.33207116,0.8806562,-0.41677395,2.810742,0.60043585
4325,플레이오프,2009-2010,35,하승진,전주KCC,-0.24169637,-0.3449286,-0.09127271,0.20364405,0.56014335,0.14914396,1.3843786,0.6085989,0.84490186,0.8555971,-0.89910585,-0.113860495,-0.39311045,-0.93355185,-0.15695068,-1.0386901,-0.591837,-1.6994497
4326,정규경기,2010-2011,13,하승진,전주KCC,1.1820389,1.1039734,1.1108949,0.88989896,2.0422409,2.963142,0.044235215,2.8873088,2.5934303,1.4239048,1.7397172,1.3001342,1.5436085,-0.46573353,0.69200045,-0.41677395,2.010135,0.416445
4327,플레이오프,2010-2011,7,하승진,전주KCC,1.1543938,1.2099906,1.1789421,0.88126665,1.3364801,2.38992,-0.11802434,2.8303413,2.3836067,1.496175,3.2719374,1.5572242,2.1991134,-0.5325647,1.1636401,0.5161003,2.810742,1.3363992
4328,정규경기,2011-2012,30,하승진,전주KCC,0.7673589,0.96261704,1.2469891,0.50576884,0.56014335,0.93081003,0.05625437,2.6024702,2.7333124,1.1183983,2.4207041,1.6000724,1.9905436,0.002084778,0.8806562,-0.572253,2.010135,0.50844055
4329,플레이오프,2011-2012,7,하승진,전주KCC,1.4170245,1.8814331,1.4964957,1.3171898,0.06611072,0.30547714,0.09531682,4.1975675,3.2928417,1.7031311,1.6545941,2.585584,2.3778875,0.2025784,0.7863284,-1.0386901,0.008618152,0.14045875
4330,정규경기,2021-2022,49,하윤기,수원 KT,0.034757122,0.079140306,0.18091613,0.648199,0.3484151,0.46181035,0.323682,1.1782764,1.1246665,1.2793641,0.6331141,0.014684447,0.26239437,-0.59939593,-0.15695068,-0.26129493,0.40892154,-0.31951836
4331,정규경기,2004-2005,33,하이램 풀러,인천전자랜드,1.0714577,1.4927032,1.8367318,0.518717,-0.004465288,0.5660325,-0.3824472,-0.53075624,-0.5539209,-0.7869104,1.8248409,1.9000107,1.9309523,-0.59939593,1.0693121,0.2051422,0.008618152,1.3363992
4332,정규경기,2010-2011,122,하재필,전주KCC,-0.7531354,-0.6629802,-0.47687364,0.095742345,-0.7808022,-0.7367442,-0.49362504,0.038921304,0.14549045,0.8884472,-0.47348917,-0.54234374,-0.54208887,-0.79988945,-0.817246,-0.72773206,0.008618152,-0.7794955
4333,플레이오프,2010-2011,77,하재필,전주KCC,-1.0710568,-1.05171,-0.99856895,-1.95439,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.89910585,-0.9708269,-0.989024,-0.93355185,-1.1002297,-1.0386901,-0.591837,-1.6994497
4334,플레이오프,2010KBLWINTER,12,하재필,KCC,0.103870496,0.18515751,0.5891995,0.20364405,0.20726292,0.14914396,0.6331771,-0.53075624,-0.5539209,-0.7869104,1.6545941,1.3858308,1.5436085,-0.59939593,1.7296075,-1.0386901,2.4104385,0.60043585
4335,D리그 1차,2010KBLWINTER,28,하재필,KCC,0.8779403,0.8565999,1.1562597,0.5100848,1.4776323,1.712476,0.35373008,-0.53075624,-0.5539209,-0.7869104,1.4843473,1.3858308,1.4840173,0.2025784,0.69200045,0.36062118,2.010135,0.23245409
